Gamma,n,T,average,sd,min,max,length_scale,lambda
3000,20,150,0.010768104247233033,0.012145027685535603,0.0001776206083874996,0.06263929361703557,60,0.0001
6000,40,150,0.004405737147892911,0.0047590871797206094,6.827487382905593e-05,0.02324358493443099,60,0.0001
9000,60,150,0.003658354603031478,0.0038489727447836145,4.515314232862607e-05,0.019194106856612814,60,0.0001
12000,80,150,0.0033702103121636064,0.003552747138065143,3.8372866819393476e-05,0.017474237614909516,60,0.0001
15000,100,150,0.003213321749993335,0.0033249325920023526,3.227394668612203e-05,0.015450416168426335,60,0.0001
18000,120,150,0.0029429244987762724,0.0029778276048066377,2.6439159287698752e-05,0.013846867242178014,60,0.0001
21000,140,150,0.0032040620562167332,0.0032678655362914826,2.3551303718733742e-05,0.015049217391035685,60,0.0001
24000,160,150,0.0030112733973027286,0.0030647226289363355,2.3708142744623932e-05,0.014220252953747979,60,0.0001
27000,180,150,0.0029270665843097753,0.0029670441035790545,2.0505187349876977e-05,0.013630688556012691,60,0.0001
30000,200,150,0.0027639418889626676,0.0028304089516424354,2.004699813898423e-05,0.012687151096715836,60,0.0001
