Gamma,n,T,average,sd,min,max,k
3000,20,150,0.7741644975248501,0.785620189543749,0.0025684455083391333,3.9514006893557663,3.5
6000,40,150,0.8243733080668649,0.8087861225684141,0.0028897161747279106,3.2666079981975127,3.5
9000,60,150,0.7193050414865262,0.730326451719737,0.00038849720844030084,2.7718688455639553,3.5
12000,80,150,0.7193000047994821,0.7441470662861052,0.00011049402374489066,2.9328347766107163,3.5
15000,100,150,0.47650476820273324,0.6062296827637804,0.00020366058405637372,4.0958165602520085,2.8
18000,120,150,0.4292376975987432,0.4722361827665768,0.00022620081403450972,2.1091091514062366,2.8
21000,140,150,0.399984825437961,0.4332564843807723,0.00035972254292744333,2.108934507172582,2.8
24000,160,150,0.38532785686248466,0.444419032907293,0.00040147727824740533,2.3684788775855163,2.8
27000,180,150,0.3701530522461839,0.4127593293019977,0.000366035137493665,2.255252126023498,2.8
30000,200,150,0.37245880895415445,0.42462750463337007,0.00011661656146795641,2.2606059866609622,2.8
