Gamma,n,T,average,sd,min,max
3000,30,100,0.044124024365888505,0.05941304265001604,0.0007069998847339047,0.36258842413861514
6000,60,100,0.011215781710896176,0.01176685838765142,0.00018758104316844682,0.05831099432577275
9000,90,100,0.009179822172610158,0.008670310097876945,0.00013844159074501226,0.04063352551891313
12000,120,100,0.008614938343623521,0.007617848148788929,0.00012430564597289443,0.034973827425283696
15000,150,100,0.00887936851050846,0.007633154537605908,0.00010175001971727173,0.03271811434742625
18000,180,100,0.008800674473270232,0.007592574258822015,9.755991394559342e-05,0.03429894697622956
21000,210,100,0.008784464430502818,0.00729047061430264,9.333642350497275e-05,0.03101393995759187
24000,240,100,0.008622586459604571,0.007147628983837675,7.875888002653905e-05,0.03009640491218225
27000,270,100,0.008474336526335642,0.006808723179510225,7.622546773400124e-05,0.02805569523512939
30000,300,100,0.008320078781932274,0.006633719529883774,6.626110457914913e-05,0.02760059937942207
