Gamma,n,T,average,sd,min,max
3000,60,50,0.05346018905063307,0.04328765798497881,0.0008243407961266013,0.198716106069199
6000,120,50,0.047843756132098514,0.033745726076088445,0.0006780144534724715,0.1441123418499758
9000,180,50,0.049320690663819076,0.03471259173676781,0.00046021234135034376,0.14628808236344157
12000,240,50,0.04893613954810458,0.033501290775895386,0.00045724032865631194,0.13760088113296587
15000,300,50,0.04848777962658571,0.03267988841482219,0.0003843135818907545,0.1321581068024963
18000,360,50,0.04898947224633057,0.03248318708649278,0.0004022310483591843,0.12886096841759553
21000,420,50,0.04940713002998642,0.03330628043423915,0.00033466746926905116,0.13029860353561973
24000,480,50,0.0490804913570824,0.03307028115874911,0.00034361803109070154,0.1285321104618987
27000,540,50,0.04877486627214869,0.03246119759699696,0.00038182180396162017,0.12524784748825415
30000,600,50,0.04898219721479764,0.032622982232527444,0.0003598554879814102,0.12630148053337856
