Gamma,n,T,average,sd,min,max,k
3000,30,100,0.8803347343776331,0.9877512076307365,0.0011002140874752245,3.8220748820108383,1
6000,60,100,0.6466574366900113,0.6523621111412988,0.0005629737218882025,2.7324525797748502,2
9000,90,100,0.45137388659347827,0.5512204451986316,0.00037213605641207647,3.0950777917030647,3
12000,120,100,0.44644220006897434,0.5392220102539332,0.0004236909973536633,3.0817338846412285,3
15000,150,100,0.38374401258464597,0.4653203592841355,0.0003138722743060575,2.294848239228892,3
18000,180,100,0.38547334572715364,0.4699182764932122,0.0004642125650055003,2.0087657355566795,4
21000,210,100,0.38021990813220524,0.45377416250662234,0.00030539225384826655,2.0514404844440692,4
24000,240,100,0.3428594740514541,0.40403943860594915,0.0002873485415756736,1.8012115034928653,4
27000,270,100,0.31506286754353224,0.3887453890741222,0.0002691480881391302,1.7818456642944387,4
30000,300,100,0.3198638934445934,0.40336628204180364,0.00048088275148031344,1.7117134601257802,5
