Gamma,n,T,average,sd,min,max,k
3000,100,30,0.6587061510972315,0.7216080840803585,0.001000561070984541,2.582840257161939,6
6000,200,30,0.5832597341365798,0.6153264685194888,0.0010582865406728197,2.619720286868697,6
9000,300,30,0.5046079944097049,0.5854156920388018,0.0007897158368124368,2.460219949763112,6
12000,342,35,0.43038120671742064,0.48394334896759866,0.0006216629957460331,2.17612307719419,6
15000,428,35,0.37777806680719117,0.39766962498411323,0.0004927084414739552,1.5649059268218668,6
18000,514,35,0.3819804178821507,0.4060779308115822,0.00045721689749737984,1.7281999565173942,6
21000,600,35,0.36106334955345915,0.39609187003668117,0.00048010148292364685,1.8769272569131092,7
24000,600,40,0.32525601762251016,0.3639688315476959,0.0004193027734600937,1.7339920705630787,7
27000,675,40,0.3068093974000556,0.35010207881437355,0.0005585935106140476,1.7311362070584702,7
30000,750,40,0.2827036728385939,0.33630090545177604,0.0005458931970865605,1.6893766537163923,7
