Gamma,n,T,average,sd,min,max,k
3000,20,150,0.793651474603095,0.8849273677207198,0.00024245077583846746,4.282677658758226,3
6000,40,150,0.7701668485146503,0.8023163810672491,0.0007708983486013536,3.342469972187883,4
9000,60,150,0.5056858401428341,0.5782621524976167,0.0002758558488001123,2.7469742164659845,4
12000,80,150,0.5192976032352199,0.6491359397782032,0.000203600149124357,3.046122962051299,5
15000,100,150,0.4603030626150238,0.4861564989465119,0.00024075695365166814,2.016853298953218,5
18000,120,150,0.4217134828439712,0.482019059746292,0.00022095451046455052,2.1396360876995524,5
21000,140,150,0.37486717251041457,0.45840547009564786,0.00019898781660637358,2.1367125073259876,5
24000,160,150,0.37351741365777036,0.46308778454372174,0.00011681366654732934,2.4597791697179376,6
27000,180,150,0.37691942170421844,0.4489501740502431,0.00012697716303417415,2.443847622771944,6
30000,200,150,0.35287210939024194,0.4200420237852708,0.000169127623018851,2.400982467681668,7
