Gamma,n,T,average,sd,min,max,k
3000,60,50,0.709626602436452,0.7241497703943177,0.0012331101639556244,3.1038218385889627,2
6000,120,50,0.5029071705498436,0.6027985296452101,0.001005639471496531,3.3347236336899466,3
9000,180,50,0.4452231056137012,0.5263221587436879,0.0005694538722905814,2.111559791270517,4
12000,240,50,0.4058458414830753,0.4721319365837401,0.0009399196038326911,2.108897301147976,4
15000,300,50,0.3820578430672372,0.4726346194981583,0.0004982452358203624,2.0101241548291666,5
18000,360,50,0.3213011383412511,0.36348010278951287,0.00042614336500773316,1.7701274160800953,5
21000,420,50,0.30108724314770074,0.3289424789125463,0.00037430160297029935,1.4897514734707054,5
24000,480,50,0.3099944924201161,0.3331466420427127,0.0005922795311393003,1.4925815459320908,6
27000,540,50,0.3139808486206644,0.3423406438804444,0.0004999038269246308,1.770199376507732,6
30000,600,50,0.28393448876450283,0.326423308903497,0.00041613723090984394,1.5892579445747872,7
