Gamma,n,T,average,sd,min,max,length_scale,lambda
100,1,100,8.797004236930029,0.8875093435801018,6.557723618845317,9.98547110256308,10,0.0001
250,3,100,0.05060417352111001,0.051897015230395346,0.0008431443474752673,0.20729073071664397,10,0.0001
500,5,100,0.027933562759249984,0.03387533741221175,0.0007187898001144894,0.16717801700861415,10,0.0001
1000,10,100,0.01205443677350233,0.015166904771811754,0.00035825830287300643,0.07743128732176523,10,0.0001
1500,15,100,0.008953781829100735,0.012436877655764442,0.00021861711239181837,0.06734451990417897,10,0.0001
2000,20,100,0.00779658612648672,0.011128118348866877,0.00020585778305797102,0.06114074349725431,10,0.0001
2500,25,100,0.007605212740471906,0.011399846802623924,0.0001661092123921719,0.06303289996159558,10,0.0001
3000,30,100,0.007255044999301461,0.011453523700526847,0.00014130722854672998,0.06648957584701257,10,0.0001
3500,35,100,0.006837371205505644,0.01073086172087347,0.00012146001193132311,0.06025773786146637,10,0.0001
4000,40,100,0.006490426725208375,0.010783418815269355,0.00011633488507049195,0.06078641473891145,10,0.0001
