Gamma,n,T,average,sd,min,max,length_scale,lambda
100,10,10,0.5524405380970404,0.5063339649983175,0.01127908300661983,2.097822306111308,10,0.0001
250,10,25,0.11006369498161314,0.11232815481360305,0.003134323392705281,0.4810057139760546,10,0.0001
500,10,50,0.03419703243971984,0.03993826331853961,0.0009050683494100947,0.1906630051747616,10,0.0001
1000,10,100,0.01205443677350233,0.015166904771811754,0.00035825830287300643,0.07743128732176523,10,0.0001
1500,10,150,0.007214868099607636,0.0093363522281122,0.00018799135626520563,0.04870525885106771,10,0.0001
2000,11,181,0.0048616824989524575,0.006555735713265163,0.0001308463017167525,0.035205736182760246,10,0.0001
2500,11,227,0.0037209099088742663,0.004951628821332688,9.730176349133699e-05,0.026431707234436677,10,0.0001
3000,11,272,0.003132425175848616,0.004103885296637451,7.75711629940587e-05,0.022139116561822037,10,0.0001
3500,11,318,0.002670138463915833,0.00344649326421675,7.685438205412775e-05,0.01886242697848443,10,0.0001
4000,11,363,0.002348916193005026,0.0030125878794110567,6.105405640024689e-05,0.01645048704053834,10,0.0001
