Gamma,n,T,average,sd,min,max,k
100,1,100,9.310143434279276,1.0462733402025826,6.545562285896274,10.694731384424074,2
250,3,100,0.8819672017494821,1.1909449453195793,0.0013249454587974615,6.273249736753549,2
500,5,100,1.0764499740134068,1.2430481817367818,0.0007661894064904165,5.031788493792952,1.8
1000,10,100,0.2974644481312975,0.3415595504798981,0.0006383673185662068,1.6617784426812503,0.9
1500,15,100,0.2465116229045966,0.2863402980092314,0.00040441795322818314,1.3196424574377053,0.9
2000,20,100,0.16746696145362022,0.25504415440504624,0.0003047020694951236,1.3551279715793698,0.8
2500,25,100,0.12411627059900235,0.19562839149938785,0.00025322856000781506,1.2165891490773624,0.8
3000,30,100,0.1088775949918257,0.19782406404684377,0.00021447699525334554,1.4557065234397297,0.7
3500,35,100,0.09713577566697718,0.1681509339137535,0.0001691521274783083,1.0909402728643836,0.7
4000,40,100,0.0929067834908675,0.16623604084505586,0.00014457684188945747,1.10204263532481,0.7
