Gamma,n,T,average,sd,min,max,k
100,10,10,0.8595955798035849,0.6842610304092551,0.00702766070031291,2.7327624593598046,1
250,10,25,0.4128351558282551,0.40389389062698017,0.002814650457183152,1.8169029979217004,0.9
500,25,20,0.28160402037172555,0.2970252339430244,0.0019635519667776714,1.4362228318761792,0.8
1000,40,25,0.18985168962130114,0.23948731949897412,0.0009849168089628591,1.1747186353582533,0.7
1500,50,30,0.1371205447297242,0.1990517457788845,0.0008135861538054075,1.1074981111203883,0.6
2000,50,40,0.10376815969372863,0.19621712642277242,0.0005705091929212636,1.0956990618951712,0.5
2500,50,50,0.07336656688569829,0.15848182564330598,0.0005800627463321884,1.0729154677241424,0.4
3000,50,60,0.06560395605898668,0.15426313866453112,0.000447285884566836,1.056844998157896,0.4
3500,50,70,0.06082842538241556,0.15123489277794747,0.0003782438686576406,1.0418184558404762,0.4
4000,50,80,0.05764834616066894,0.14848214721885175,0.00035270395660284116,1.0255167200881432,0.4
