Gamma,n,T,average,sd,min,max,k
100,2,50,1.0095343024527694,0.9794316367388841,0.003657840959590847,3.766900892256857,2
250,5,50,1.1014997739253296,1.2484549229607558,0.0013191679466570657,4.994914722688658,1.8
500,10,50,0.3271404385196485,0.35924291212415815,0.0012061892597020054,1.6773629850596226,0.9
1000,20,50,0.19278419072151184,0.2673572319676954,0.000810604162553537,1.4128971659546536,0.8
1500,30,50,0.12969250236882646,0.210461361595931,0.00045920631769246124,1.4788704212123127,0.7
2000,40,50,0.11618675711670107,0.18659959953026337,0.00038393681717398563,1.1412235265494164,0.7
2500,50,50,0.07336656688569829,0.15848182564330598,0.0005800627463321884,1.0729154677241424,0.4
3000,60,50,0.06583613462467533,0.15553909845690786,0.0005041141676515479,1.0783881754324793,0.4
3500,70,50,0.06409839114311888,0.1588093180520225,0.00043675195586154826,1.105311287789071,0.4
4000,80,50,0.06541522914006644,0.16221644475445576,0.00041913059325815417,1.1007630563159139,0.4
