Gamma,n,T,average,sd,min,max
100,10,10,0.6587617472955971,0.5612012903076288,0.010121186717147634,2.1253804559776497
250,10,25,0.1501580618962847,0.15486557891011526,0.0031444620130065236,0.6454564719779501
500,10,50,0.055885502626198374,0.07067477438327123,0.0009940988470458687,0.3639914182816326
1000,10,100,0.023230550513176556,0.03450217411187196,0.0003831656324091864,0.1971885609680133
1500,10,150,0.01558163215738684,0.025032509109982316,0.00021090125681191482,0.1457886516653846
2000,10,200,0.012058576509606005,0.019866341401055587,0.00014231943567415627,0.11703367329473066
2500,10,250,0.009570037551502852,0.016185825215022695,0.00010248474928694011,0.09674483584913211
3000,10,300,0.0081947861127879,0.014004067238467225,8.764419958688726e-05,0.08359172258364055
3500,10,350,0.007248834506972798,0.01238927823503876,7.617109932635221e-05,0.07357928560185345
4000,10,400,0.006390658124471737,0.01097721538322174,5.978598411449105e-05,0.06517438482209817
