Gamma,n,T,Mean,length_scale,lambda
30000,200,150,0.002882905916836613,200,0.0001
35000,200,175,0.0023176014005301597,200,0.0001
40000,200,200,0.001959855544178729,200,0.0001
45000,200,225,0.0016588707970878653,200,0.0001
50000,200,250,0.001513401980790183,200,0.0001
55000,205,268,0.0009999101428836664,200,0.0001
60000,205,292,0.0009749588801185302,200,0.0001
65000,205,317,0.000904151240810712,200,0.0001
70000,205,341,0.0008797824330858368,200,0.0001
75000,205,365,0.0008378635696180854,200,0.0001
